simdikilerde şimdikilerde
düsünmedigimi düşünmediğimi
atabilmis atabilmiş
çilgin çılgın
erkeklerınde erkeklerinde
yilina yılına
yoksunlari yoksunları
yapacaksin yapacaksın
elestirilerin eleştirilerin
tarzindan tarzından
soguyacağım soğuyacağım
Ines İnes
yasantısını yaşantısını
analarini analarını
padisahin padişahin
Inek İnek
DIYALOGLAR DİYALOGLAR
elestirmeni eleştirmeni
begenilerin beğenilerin
taniyorum tanıyorum
elestirmene eleştirmene
eşkiyalar eşkıyalar
guleceksiniz güleceksiniz
sergilenmis sergilenmiş
yansittıgını yansıttığını
goruldugunu görüldüğünü
satilir satılır
sahislardir şahıslardır
düsmanin düşmanın
ugraşılmaz uğraşılmaz
baslasin başlasın
görüşunuze görüşünüze
Dove Döve
kitapti kitaptı
begeneceksiniz beğeneceksiniz
Indi İndi
ettigine ettiğine
adimini adımını
Jonesin Jönesin
Inde İnde
baktiğımız baktığımız
yapimcilari yapımcıları
Filardi Filardı
düsüncesinde düşüncesinde
icmeyeceksen içmeyeceksen
yadigarlarinin yadigarlarının
babaydi babaydı
detaylandirmamislar detaylandırmamışlar
kitabindan kitabından
bombayi bombayı
ifsa ifşa
görecegiz göreceğiz
elestirmeninin eleştirmeninin
kırikligiydi kırıklığıydı
bayilacaksiniz bayılacaksınız
isla ısla
makyajlarinin makyajlarının
zaafi zaafı
gecebilecek geçebilecek
Ince İnce,İnçe
abartmamislar abartmamışlar
çatismalara çatışmalara
kisimsa kısımsa
tavsanin tavşanın
baglantisini bağlantısını
azaltacakti azaltacaktı
ızlemenız izlemeniz
Kiyametin Kıyametin
gormeğe görmeğe
Universal Üniversal
elestirinin eleştirinin
anlamamistir anlamamıştır
daliyorsunuz dalıyorsunuz
basvurdugu başvurduğu
klasiklesmis klasikleşmiş
saniyoruz sanıyoruz
varacaksiniz varacaksınız
tutarsizligini tutarsızlığını
oyuncularimdan oyuncularımdan
vazgecmeli vazgeçmeli
aga ağa
heyecanlandirmamaya heyecanlandırmamaya
vurulamiyor vurulamıyor
aynayi aynayı
Sarısıni Sarışını
yansitmişlar yansıtmışlar
olusudur oluşudur
FILMIN FİLMİN
gidermisiniz gidermişiniz
Berkun Berkün
gisede gişede
karıslamıyor karışlamıyor
tayfanin tayfanın
çaganin çağanın
göndermisti göndermişti
karikaturunden karikatüründen
bakmayacaginiz bakmayacağınız
yukseltip yükseltip
ayyas ayyaş
zorlanmis zorlanmış
bıyıgıyla bıyığıyla
ulasmissindir ulaşmışsındır
açtigi açtığı
çatismasi çatışması
Aksakalli Aksakallı
surukleniyorlar sürükleniyorlar
yasarsiniz yasarsınız
cekilecektir çekilecektir
korkmadim korkmadım
acılarinı açılarını
bayanlarinda bayanlarında
uyandirmasina uyandırmasına
getirebilecegini getirebileceğini
masalinin maşalının
takatim takatım
seçilmis seçilmiş
kasildikca kasıldıkça
degerlendirerek değerlendirerek
mizirdanmaya mızırdanmaya
Adamakılli Adamakıllı
zorlanmamis zorlanmamış
edildiginde edildiğinde
saldirip saldırıp
peluş pelüş
Şehsuvar Şehsüvar
anlatilmamis anlatılmamış
eğlendırebılen eğlendirebilen
dusunuyorsun düşünüyorsun
basarisizdi başarısızdı
TEKNOLOJIYI TEKNOLOJİYİ
yarisini yarısını
şakir şakır
toplarindan toplarından
liğin lığın
elestirmeleri eleştirmeleri
tanklarin tankların
İNSANLIGI İNSANLIĞI
etmelerıdır etmeleridir
teroristlerle teröristlerle
yapiminin yapımının
Uşun Üşün
siritiyor sırıtıyor
dusunsun düşünsün
gelismelerin gelişmelerin
sorumsuzluguyla sorumsuzluğuyla
begenilir beğenilir
begenilip beğenilip
kirkligi kırklığı
algilayabilene algılayabilene
orasini orasını
islemisler islemişler
arastirabiliriz araştırabiliriz
anlamiyordur anlamıyordur
Iyinin İyinin
suikastı suikasti
dıyebiliriz diyebiliriz
MUSLUMe MÜSLÜMe
Karisti Karıştı
becerememissin becerememişsin
yadigarlarinda yadigarlarında
düsünemiyorum düşünemiyorum
açiklamak açıklamak
kurgulandigini kurgulandığını
brokerını brokerini
itilmistir itilmiştir
yayinlansa yayınlansa
faydalanmısız faydalanmışız
dayanamadim dayanamadım
acamiyorum açamıyorum
düsmanca düşmanca
ozgurlugu özgürlüğü
gıbi gibi
kurtarmasi kurtarması
fılımın filimin
isçiligine işçiliğine
formatini formatını
KARAYİP KARAYIP
ozetleyim özetleyim
desteklenmediginde desteklenmediğinde
kisiliginde kişiliğinde
yapayliktan yapaylıktan
madığı madiği
cikarilmamalidir çıkarılmamalıdır
inanmazdim inanmazdım
ozgurluge özgürlüğe
devaminin devamının
durabilecegi durabileceği
gorünse görünse
dönüstügünü dönüştüğünü
savcinin savcının
kiraçti kıraçtı
Gon Gön
goruruz görürüz
önyargisiz önyargısız
düsmanlarindan düşmanlarından
çatismalarini çatışmalarını
takipcilerinin takipçilerinin
tasindan taşından
aglamamiz ağlamamız
adamimizin adamımızın
savasır savaşır
degerlendıremedıler değerlendiremediler
FILMDE FİLMDE
siddet şiddet
imajina imajına
seymiş şeymiş
tutamadilar tutamadılar
iskembe işkembe
bogure böğüre
etkilediginden etkilediğinden
uygunmus uygunmuş
dokunakliydi dokunaklıydı
karsilastirdim karşılaştırdım
modundaydik modundaydık
aliskin alışkin
sikilmaktan sıkılmaktan
donemini dönemini
yanilmayan yanılmayan
CÜMLESINİ CÜMLESİNİ
cekerdi çekerdi
cikarmalari çıkarmaları
olseydi ölseydi
gerçeklestirdikten gerçekleştirdikten
Aramis Aramış
pozlarin pozların
tarimiz tarımız
iclerim içlerim
kiyaslanamaz kıyaslanamaz
izleyecekmis izleyecekmiş
lose löse
fotografçinin fotoğrafçının
İrandan Irandan
devsirme devşirme
Izlenmeye İzlenmeye
bilemeyecegim bilemeyeceğim
catlasa çatlaşa
jurisi jürisi
sokmadi sokmadı
danslari dansları
olanlardir olanlardır
seyrettıgınızde seyrettiğinizde
kiskaniyor kıskanıyor
makinaniz makinanız
YAKİŞİR YAKIŞIR
izlenebilirligin izlenebilirliğin
hatirlayin hatırlayın
yaptiginiz yaptığınız
kesmeyeymis kesmeyeymiş
hayatlari hayatları
agzınız ağzınız
etkıleyebılsınler etkileyebilsinler
begenirdim beğenirdim
cakallarla çakallarla
yapiminda yapımında
cahıllıkle cahillikle
olamazsiniz olamazsınız
katarsisin katarsısın
GITTIM GİTTİM
soylerler söylerler
elestirmenlerin eleştirmenlerin
anlamliydi anlamlıydı
sinemayi sinemayı
Abartida Abartıda
ugrasilmamis uğraşılmamış
adamimiz adamımız
hayranlarinin hayranlarının
sarttir şarttır
HIÇ HİÇ
ettirmis ettirmiş
yaraticisindan yaratıcısından
aktigini aktığını
yakistiramadigim yakıştıramadığım
asagiladilar aşağıladılar
azicikta azıcıkta
çitayi çitayı
sahnelerını sahnelerini
atalarimla atalarımla
süphelerini şüphelerini
yaniyorlar yanıyorlar
coğunluğu çoğunluğu
duygulanacaginiz duygulanacağınız
ecdadimizi ecdadımızı
ilişkılendirilebilecegının ilişkilendirilebileceğinin
sucsuzlari suçsuzları
VARİ VARI
açiklama açıklama
inaniş inanış
oynatmislar oynatmışlar
fuzeler füzeler
gosterilmekle gösterilmekle
konusur konuşur
ecdadimiza ecdadımıza
tanimlamak tanımlamak
gösterilmedigini gösterilmediğini
sikilabileceginizi sıkılabileceğinizi
sorgulayip sorgulayıp
cocukluguymus çocukluğuymuş
ozledigimi özlediğimi
ogünlerde öğünlerde
zarfindaki zarfındaki
isaretlerine işaretlerine
çogaltilmasi çoğaltılması
coğunluğa çoğunluğa
fılmleri filmleri
buluğum büluğum
tutarliydi tutarlıydı
gecilememiş geçilememiş
oynadigi oynadığı
gecmise geçmişe
tekrarlamasinin tekrarlamasının
depresip depreşip
nesıllerınde nesillerinde
giremedım giremedim
yapisinla yapışınla
akip akıp
kucaklarindaki kucaklarındaki
Insanın İnşanın
birakilmis bırakılmış
kinda kında
kararliligina kararlılığına
aglanmaz ağlanmaz
harcandigi harcandığı
yansitiyorlar yansıtıyorlar
haftadir haftadır
yayinlamadan yayınlamadan
sanatsalliktan sanatsallıktan
ugrastim uğraştım
isenız iseniz
zamaninizi zamanınızı
ogeleri ögeleri
özenilmis özenilmiş
dunyasından dünyasından
buruklugun burukluğun
atalarimiz atalarımız
karmasiklasiyor karmaşıklaşıyor
aciyabilir acıyabilir
paylasiyor paylaşıyor
nikahsiz nikahsız
tutarlilik tutarlılık
kullanilabildigi kullanılabildiği
izleyın izleyin
Kususuz Küsüsüz
sohreti şöhreti
birakirsak bırakırsak
gidisati gidişatı
konussa konuşsa
karsilasmasi karşılaşması
sagdik sağdık
şovaleye şövaleye
yapaydi yapaydı
haksizliktir haksızlıktır
sapmalari sapmaları
acıklarsanız açıklarsanız
cekimlerdeki çekimlerdeki
toplamanizi toplamanızı
basarmis basarmış
tanidigi tanıdığı
Bandini Bandını
sokaklariyla sokaklarıyla
cekilecek çekilecek
yillarinin yıllarının
Izlenmesi İzlenmesi
İnanilmazdi İnanılmazdı
yarattik yarattık
yarismaliydi yarışmalıydı
adamim adamım
sonrasindaysa sonrasındaysa
kiniyoruz kınıyoruz
hirsizliginin hırsızlığının
yaratmanızi yaratmanızı
yaradıgı yaradığı
cozulmemis çözülmemiş
izleyecegiz izleyeceğiz
gondermeden göndermeden
yasaminizi yaşamınızı
kizimizin kızımızın
kirmamin kırmamın
yaratabildigimiz yaratabildiğimiz
aglamamak ağlamamak
kurmusken kurmuşken
oynasinlar oynasınlar
sundayız şundayız
izleyecegim izleyeceğim
sapigin sapığın
sanslıymış şanslıymış
yaşıyormussunuz yaşıyormuşsunuz
kisimdi kısımdı
cekilmeliydi çekilmeliydi
ogullarim oğullarım
ustadin üstadın
baglam bağlam
olacagini olacağını
cumali cumalı
Izle İzle
vicdanli vicdanlı
sinemasi sineması
sonlarinda sonlarında
stari starı
elestirmenlerce eleştirmenlerce
sovu şovu
tanimiyorum tanımıyorum
kurulmasaydi kurulmasaydı
olmaliydik olmalıydık
isiginda ışığında
çikiyoruz çıkıyoruz
basaramayacaksiniz başaramayacaksınız
bulmacami bulmacamı
SAMPiYONU ŞAMPiYONU
gercekleşecek gerçekleşecek
israfi israfı
Imre İmre
olmadigin olmadığın
olmadigim olmadığım
Yayimlandiginda Yayımlandığında
zip zıp
başladıgında başladığında
çarpik çarpık
yaniltmasin yanıltmasın
ASKERLERI ASKERLERİ
disliyor dişliyor
etkilendigi etkilendiği
DIZI DİZİ
bağlanmamıs bağlanmamış
gonlunuze gönlünüze
radikallik radikallık
enstrumanının enstrümanının
olabilseymis olabilseymiş
duygulariniza duygularınıza
faciasindan faciasından
alintiydi alıntıydı
yansitmis yansıtmış
egitirsin eğitirsin
satmisti satmıştı
kaysada kayşada
icersindeki içersindeki
patladi patladı
rastlantisal rastlantısal
ulasmasini ulaşmasını
karsilasiyorsun karşılaşıyorsun
DIYE DİYE
diyaloglarin diyalogların
yipratti yıprattı
isikta ışıkta
izlediğım izlediğim
saniyordu sanıyordu
dayanmaktadir dayanmaktadır
esitsiz eşitsiz
aglamıstım ağlamıştım
düsünmezseniz düşünmezseniz
buyugumden büyüğümden
havasiyla havasıyla
agzın ağzın
müzigine müziğine
palyaçolugunu palyaçoluğunu
sirtinizda sırtınızda
janrinin janrının
inanip inanıp
anlamadiginiz anlamadığınız
yatirdigi yatırdığı
kurulmamisti kurulmamıştı
yazmis yazmış
HİÇKİRA HIÇKIRA
insanligin insanlığın
toplanmalari toplanmaları
atmis atmış
bakiyorum bakıyorum
duyacaginiz duyacağınız
hocayi hocayı
PELERInini PELERİnini
duacisiydi duacısıydı
tamina tamına
arabaydi arabaydı
yansitmayan yansıtmayan
islandın ıslandın
tanitiliyor tanıtılıyor
isyani isyanı
Katarina Katarına
kurtarmiyor kurtarmıyor
benzerlıklerı benzerlikleri
alcağınız alçağınız
yillarinda yıllarında
arzuladigim arzuladığım
yargilayan yargılayan
ladığı ladiği
azaltmis azaltmış
sinemalarindan sinemalarından
Insandaki İnsandaki
dusunsem düşünsem
cekılmelı çekilmeli
cirkinde çirkinde
çikartilabilirdi çıkartılabilirdi
sabir sabır
seyiler şeyiler
kisarak kısarak
yayinlasalardi yayınlasalardı
bolsevik bolşevik
seyırcısını seyircisini
tutturmayi tutturmayı
Kaysani Kayşanı
siradanlastirmanin sıradanlaştırmanın
yapimdan yapımdan
olmadigimiz olmadığımız
gayrıresmî gayriresmî
giydigi giydiği
Satrapi Satrapı
sevısme sevişme
anlasilmayacagini anlaşılmayacağını
şaşkınlıga şaşkınlığa
baglanmayan bağlanmayan
begenecektir beğenecektir
Izlenmeli İzlenmeli
Comer Çömer
yakistiramayan yakıştıramayan
çalisiliyor çalışılıyor
teroristler teröristler
anlatiyordu anlatıyordu
fiskiran fışkıran
ozellige özelliğe
fılmi filmi
basarmak başarmak
hanimi hanımı
pervasizca pervasızca
Visar Vışar
fılme filme
Ikisi İkisi
Izlemeyin İzlemeyin
liği lığı
ihtiyacimi ihtiyacımı
sokaklari sokakları
ETKILEYICI ETKİLEYİCİ
azaltti azalttı
dunyasini dünyasını
dövüsleri dövüşleri
kullandiğı kullandığı
yayinlanan yayınlanan
tasarlamıs tasarlamış
oyunculuguysa oyunculuğuysa
dunyasina dünyasına
oglumdaki oğlumdaki
saglini sağlını
yayinlasaymis yayınlasaymış
madığını madiğini
çogumuz çoğumuz
Dükkani Dükkanı
katarsisimiz katarsısımız
çabaliyor çabalıyor
Sapkadan Şapkadan
Çocuklugu Çocukluğu
sonuçlandigini sonuçlandığını
dunyadaki dünyadaki
inandirici inandırıcı
çikaramamislar çıkaramamışlar
döktürmüs döktürmüş
eglenebilirsiniz eğlenebilirsiniz
saygidan saygıdan
vucuda vücuda
cikista çıkışta
siveyle şiveyle
yapabileceginin yapabileceğinin
canlandirdigi çanlandırdığı
SEYİRCI SEYİRCİ
isaretleriyle işaretleriyle
azinligin azınlığın
Osmanı Osmani
şimşeğın şimşeğin
kazanirdi kazanırdı
oyküsünü öyküsünü
aktarilabilecegi aktarılabileceği
adlarina adlarına
yalcini yalçını
gülünebilecegi gülünebileceği
anlayisini anlayışını
takilanlar takılanlar
Sum Şum
Izci İzci
zekaniza zekanıza
butunlesmis bütünleşmiş
bogulsa boğulsa
verdıgımıze verdiğimize
anlatmakti anlatmaktı
sokaklarini sokaklarını
yöneteceklermis yöneteceklermiş
guldum güldüm
savaşcı savaşçı
meselere meşelere
kullanamayisi kullanamayışı
boyle böyle
gorunumler görünümler
savaşin savaşın
duygulaniyorsunuz duygulanıyorsunuz
gecirseniz geçirseniz
Comar Çomar
Kurtlari Kurtları
yansitmak yansıtmak
sunacagi sunacağı
akibetinden akıbetinden
icimizden içimizden
sonrasindan sonrasından
nitelendirilmistir nitelendirilmiştir
tirmanisa tırmanışa
Hüzünleneceginiz Hüzünleneceğiniz
BENIMSEMELIDIR BENİMSEMELİDİR
asagılama aşağılama
fotograflarken fotoğraflarken
ustalıgını ustalığını
İİ II
gidememis gidememiş
isikla ışıkla
engellemis engellemiş
Yokustan Yokuştan
misalı misali
Ileride İleride
Çöküs Çöküş
iftarlik iftarlık
radariniza radarınıza
Izlemeyen İzlemeyen
geçisinde geçişinde
karsitliklar karşıtlıklar
degisebilecegini değişebileceğini
götürdügünü götürdüğünü
sanatindan sanatından
FILMLERININ FİLMLERİNİN
çilginca çılgınca
haritasini haritasını
celisip çelişip
baglamakta bağlamakta
basarisiyla başarışıyla
cildirma çıldırma
bağladıgı bağladığı
Aris Arış
çogaltilabilir çoğaltılabilir
robotlarin robotların
çalisiyor çalışıyor
yansıyacaksiniz yansıyacaksınız
takildigim takıldığım
maçinda maçında
haksızlıklarindan haksızlıklarından
gulelim gülelim
anilsa anılsa
tuvalinin tuvalının
gozyaslarimda gözyaşlarımda
algilamis algılamış
absurt absürt
emegınıze emeğinize
sinamadan sınamadan
ulasamadi ulaşamadı
kulli külli
militanmis militanmış
Gorsellikten Görsellikten
istemediginiz istemediğiniz
buradayim buradayım
duymasinda duymasında
olurmus ölürmüş
ARASTIRSIN ARAŞTIRSIN
bakariz bakarız
kliseligi klişeliği
zulumu zülümü
calismayi çalışmayı
kizla kızla
birakmamak bırakmamak
gülümseyeceginin gülümseyeceğinin
adamligi adamlığı
safsatalari safsataları
cocuğunun çocuğunun
bakarim bakarım
nizami nizamı
konusmasindan konuşmasından
suralari suraları
Tarihı Tarihi
davasina davasına
gulemeyen gülemeyen
yanilmisim yanılmışım
asmayayim aşmayayım
kotulukten kötülükten
çıktığiniz çıktığınız
kritigini kritiğini
sansizlik şansızlık
soyutlasmiyor soyutlaşmıyor
dogrulari doğruları
toparliyor toparlıyor
kasliydi kaslıydı
ıskenceydı işkenceydi
Ulkemizin Ülkemizin
karsilasamayacagimiz karşılaşamayacağımız
yapmamasinin yapmamasının
alacaklardir alacaklardır
acilari açıları
ulusca ulusça
kullanildigi kullanıldığı
tasidigini taşıdığını
yuzyılı yüzyılı
röportajiyla röportajıyla
oyunculuguyla oyunculuğuyla
deyislerle deyişlerle
dusunmeleri düşünmeleri
kufurlerle küfürlerle
GIDIYORUM GİDİYORUM
basariyorsa başarıyorsa
soylemiş söylemiş
kusatildigi kuşatıldığı
degistirmez değiştirmez
geçtigimiz geçtiğimiz
yasindayken yasındayken
anliyoruz anlıyoruz
fınalıyle finaliyle
kimligiyle kimliğiyle
tutarlilikla tutarlılıkla
Yolandi Yolandı
Cığacı Çığacı
cozumleyici çözümleyici
makaminin makamının
açiktir açıktır
uslerini üslerini
elestirmenimiz eleştirmenimiz
sallayalim sallayalım
yayginlastigi yaygınlaştığı
çikarlari çıkarları
hatalarindan hatalarından
Basroller Başroller
ciktikca çıktıkça
serılerıne serilerine
söhreti şöhreti
oyuncularinin oyuncularının
düsünenler düşünenler
aradigini aradığını
cadilar cadılar
ediciligini ediciliğini
kaynaklandigina kaynaklandığına
olmadigi olmadığı
siglastirmaktan sığlaştırmaktan
izlemedigim izlemediğim
hasanin hasanın
kardesini kardeşini
sogukkanli soğukkanlı
yaptikça yaptıkça
harcamiyorlar harcamıyorlar
disinda dışında
odaklanmasi odaklanması
alinmistir alınmıştır
çikti çıktı
mac maç
iceriyor içeriyor
sinemaci sinemacı
filmdekı filmdeki
kullanildigini kullanıldığını
maksatlari maksatları
sigmayisi sığmayışı
izlenmis izlenmiş
anlatinda anlatında
kavramlarindan kavramlarından
izlenebilirligi izlenebilirliği
Aciman Acıman
Elles Elleş
yapisini yapışını
arkadasinin arkadaşının
barışcı barışçı
yuregınıze yüreğinize
olaydir olaydır
baglanamadigi bağlanamadığı
tüketmisti tüketmişti
oynayisi oynayışı
tuyleriniz tüyleriniz
yapisina yapışına
hastir hastır
sahnelenmis şahnelenmiş
dunyasinda dünyasında
geleceginin geleceğinin
öldürmüs öldürmüş
ustalıgına ustalığına
çiksa çıksa
muziği müziği
